fee_id,fee_name,applicable_to,fee_basis,amount_usd,amount_percent,agency_id,legal_reference,notes
1,Customs Declaration (Form 47/49) Processing Fee,All commercial imports,Flat fee per declaration,5,,1,Customs and Excise (General) Regulations,Charged per ASYCUDA World customs entry
2,CBCA (Compulsory Vehicle Inspection) Certificate,All imported motor vehicles,Flat fee per vehicle,150,,5,SI on Compulsory Vehicle Inspection,Bureau Veritas-administered pre-shipment inspection
3,SAZ Conformity Assessment Fee,"Regulated electronics, building materials, foodstuffs",Flat fee per consignment,80,,5,Standards Act [Chapter 14:20],Required for products under compulsory SAZ standards
4,MCAZ Import Permit Fee,Pharmaceuticals and medical devices,Flat fee per permit,50,,3,Medicines and Allied Substances Control Act [Chapter 15:03],
5,Plant Import Permit Fee,"Seeds, plants and fresh produce",Flat fee per permit,30,,7,Plant Pests and Diseases Act [Chapter 19:08],
6,Veterinary Import Permit Fee,Live animals and animal products,Flat fee per permit,40,,6,Animal Health Act [Chapter 19:01],
7,Firearm Import Permit Fee,Firearms and ammunition,Flat fee per permit,100,,8,Firearms Act [Chapter 10:09],
8,Vehicle Registration Fee,All imported motor vehicles,Flat fee per vehicle,50,,9,Vehicle Registration and Licensing Act [Chapter 13:14],Payable at Central Vehicle Registry
9,Certificate of Fitness (Roadworthy) Fee,All imported motor vehicles,Flat fee per vehicle,35,,10,Road Traffic Act [Chapter 13:11],Issued by Vehicle Inspection Depot
10,Certificate of Origin Fee,Goods claiming SADC/COMESA/AfCFTA preference,Flat fee per certificate,20,,16,SADC Protocol on Trade / COMESA Treaty,Issued by Zimbabwe National Chamber of Commerce
11,Port/Terminal Handling Charge,All containerised imports,Flat fee per container,250,,1,Port Authority Tariff (Beira/Durban) - illustrative,Varies by port and cargo type; added to CIF/VDP
12,Bonded Warehouse Storage Fee,Goods held in bond pending clearance,Per day per tonne,3,,1,Customs and Excise Act [Chapter 23:02],Accrues daily after free storage period lapses
13,Hazardous Substances Licence Fee,Industrial and hazardous chemicals,Flat fee per licence,120,,4,Environmental Management Act [Chapter 20:27],
14,Radio/Telecom Type-Approval Fee,"Mobile phones, routers, radio equipment",Flat fee per model,200,,12,Postal and Telecommunications Act [Chapter 12:05],"Per equipment model, not per unit shipment"
15,Clearing Agent Commission (indicative),All commercial imports using a licensed agent,Percent of duty payable,,3.0,1,Market practice - not a statutory government fee,Included for total landed cost estimation only
16,Presumptive/Import VAT Withholding Admin Fee,Informal cross-border traders,Flat fee per crossing,10,,1,Customs and Excise Act [Chapter 23:02] - Simplified Trade Regime,Applies under the Simplified Trade Regime for small-scale traders
