keyword_id,keyword,hs_code,relevance_weight
1,car,87032310,1.0
2,sedan,87032310,1.0
3,vehicle,87032310,1.0
4,second hand car,87032310,0.9
5,hatchback,87032190,1.0
6,small car,87032190,0.9
7,suv,87033290,1.0
8,4x4,87033290,1.0
9,prado,87033390,1.0
10,land cruiser,87033390,0.9
11,pickup,87042190,1.0
12,bakkie,87042190,1.0
13,hilux,87042190,1.0
14,truck,87042290,1.0
15,haulage truck,87042290,0.9
16,motorbike,87111000,1.0
17,motorcycle,87112000,1.0
18,scooter,87111000,1.0
19,kombi,87021019,1.0
20,minibus,87021019,1.0
21,bus,87021019,1.0
22,tyre,40111000,1.0
23,tire,40111000,1.0
24,car battery,85071000,0.9
25,phone,85171200,1.0
26,smartphone,85171200,1.0
27,cellphone,85171200,1.0
28,iphone,85171200,1.0
29,router,85176200,1.0
30,modem,85176200,1.0
31,wifi,85176200,1.0
32,laptop,84713000,1.0
33,notebook computer,84713000,0.9
34,tablet,84713000,1.0
35,desktop computer,84714100,0.9
36,pc,84714100,1.0
37,printer,84433290,1.0
38,tv,85287200,1.0
39,television,85287200,1.0
40,smart tv,85287200,0.9
41,projector,85286900,1.0
42,decoder,85219000,1.0
43,dstv,85219000,1.0
44,set top box,85219000,0.9
45,fridge,84182100,1.0
46,refrigerator,84182100,1.0
47,washing machine,84501100,0.9
48,stove,85166000,1.0
49,cooker,85166000,1.0
50,kettle,85167900,1.0
51,toaster,85167900,1.0
52,t-shirt,61091000,1.0
53,jeans,62034200,1.0
54,trousers,62034200,1.0
55,used clothes,63090000,0.9
56,mabhero,63090000,1.0
57,second hand clothes,63090000,0.9
58,shoes,64029900,1.0
59,sneakers,64029900,1.0
60,boots,64039900,1.0
61,fabric,52081100,1.0
62,cloth material,52081100,0.9
63,maize meal,11010000,0.9
64,mealie meal,11010000,0.9
65,flour,11010000,1.0
66,rice,10063000,1.0
67,cooking oil,15179000,0.9
68,sugar,17011400,1.0
69,biscuits,19053100,1.0
70,chocolate,18063100,1.0
71,beer,22030000,1.0
72,wine,22042100,1.0
73,whisky,22083000,1.0
74,whiskey,22083000,1.0
75,soft drink,22021000,0.9
76,soda,22021000,1.0
77,bottled water,22011000,0.9
78,cigarettes,24022000,1.0
79,tobacco,24022000,1.0
80,tractor,87019200,1.0
81,irrigation pump,84195000,0.9
82,excavator,84295200,1.0
83,forklift,84271000,1.0
84,generator,85021100,1.0
85,solar panel,85414300,0.9
86,medicine,30049000,1.0
87,tablets medicine,30049000,0.9
88,vaccine,30021500,1.0
89,blood pressure monitor,90189090,0.9
90,medical equipment,90189090,0.9
91,lotion,33049900,1.0
92,cosmetics,33049900,1.0
93,shampoo,33051000,1.0
94,wig,67030000,1.0
95,sofa,94036000,1.0
96,bed,94036000,1.0
97,bunk bed,94032000,0.9
98,office desk,94033000,0.9
99,cement,25232900,1.0
100,roofing sheet,72104900,0.9
101,ibr sheet,72104900,0.9
102,tile,69072100,1.0
103,maize seed,10059010,0.9
104,seed,10059010,1.0
105,fertilizer,31021000,1.0
106,compound d,31021000,0.9
107,insecticide,38089100,1.0
108,pesticide,38089100,1.0
109,toys,95030010,1.0
110,books,49019900,1.0
111,textbook,49019900,1.0
112,shotgun,93033000,1.0
113,firearm,93033000,1.0
114,gun,93033000,1.0
115,gold,71131900,1.0
116,jewelry,71131900,1.0
117,jewellery,71131900,1.0
