tariff_id,hs_code,rate_type,duty_rate_percent,requires_certificate_of_origin,effective_date,legal_reference,notes
1,87032310,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
2,87032310,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
3,87032190,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
4,87032190,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
5,87033290,General (MFN),60,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
6,87033390,General (MFN),60,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
7,87042190,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
8,87042190,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
9,87042290,General (MFN),15,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
10,87111000,General (MFN),25,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
11,87112000,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
12,87021019,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
13,40111000,General (MFN),20,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
14,40111000,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
15,85071000,General (MFN),25,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
16,85071000,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
17,85171200,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
18,85176200,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
19,84713000,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
20,84714100,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
21,84433290,General (MFN),10,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
22,85287200,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
23,85286900,General (MFN),25,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
24,85219000,General (MFN),25,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
25,84182100,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
26,84182100,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
27,84501100,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
28,84501100,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
29,85166000,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
30,85166000,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
31,85167900,General (MFN),30,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
32,85167100,General (MFN),30,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
33,61091000,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
34,61091000,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
35,62034200,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
36,62034200,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
37,62046200,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
38,62046200,AfCFTA,20,Yes,2026-01-01,African Continental Free Trade Area tariff schedule (phase-in),Reduced rate under AfCFTA phased tariff liberalisation as of 2026
39,63090000,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
40,64029900,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
41,64029900,AfCFTA,20,Yes,2026-01-01,African Continental Free Trade Area tariff schedule (phase-in),Reduced rate under AfCFTA phased tariff liberalisation as of 2026
42,64039900,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
43,64039900,AfCFTA,20,Yes,2026-01-01,African Continental Free Trade Area tariff schedule (phase-in),Reduced rate under AfCFTA phased tariff liberalisation as of 2026
44,52081100,General (MFN),10,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
45,52081100,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
46,11010000,General (MFN),15,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
47,10063000,General (MFN),5,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
48,10063000,COMESA Free Trade Area,0,Yes,2026-01-01,COMESA FTA Certificate of Origin,Applies to goods originating in COMESA FTA member states
49,15179000,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
50,15179000,COMESA Free Trade Area,0,Yes,2026-01-01,COMESA FTA Certificate of Origin,Applies to goods originating in COMESA FTA member states
51,17011400,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
52,17011400,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
53,19053100,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
54,19053100,SADC Protocol on Trade,0,Yes,2026-01-01,"SADC Protocol on Trade, Certificate of Origin (Form SADC-CoO)",Applies to goods originating in SADC member states meeting rules of origin
55,18063100,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
56,18063100,COMESA Free Trade Area,0,Yes,2026-01-01,COMESA FTA Certificate of Origin,Applies to goods originating in COMESA FTA member states
57,22030000,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
58,22042100,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
59,22083000,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
60,22021000,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
61,22011000,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
62,24022000,General (MFN),40,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
63,87019200,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
64,84195000,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
65,84295200,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
66,84271000,General (MFN),5,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
67,85021100,General (MFN),5,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
68,85414300,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
69,30049000,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
70,30021500,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
71,90189090,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
72,90191000,General (MFN),0,No,2026-01-01,Customs Tariff Handbook (SI - Customs & Excise Act Cap 23:02),Standard rate applicable to all origins without preferential claim
