vat_rule_id,hs_code,vat_rate_percent,is_zero_rated,is_exempt,exemption_reason,legal_reference
1,87032310,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
2,87032190,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
3,87033290,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
4,87033390,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
5,87042190,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
6,87042290,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
7,87111000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
8,87112000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
9,87021019,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
10,40111000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
11,85071000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
12,85171200,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
13,85176200,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
14,84713000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
15,84714100,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
16,84433290,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
17,85287200,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
18,85286900,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
19,85219000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
20,84182100,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
21,84501100,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
22,85166000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
23,85167900,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
24,85167100,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
25,61091000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
26,62034200,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
27,62046200,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
28,63090000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
29,64029900,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
30,64039900,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
31,52081100,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
32,11010000,0,Yes,No,Basic foodstuff / agricultural input zero-rated under VAT Act 2nd Schedule,"Value-Added Tax Act [Chapter 23:12], Section 10 / 2nd Schedule"
33,10063000,0,Yes,No,Basic foodstuff / agricultural input zero-rated under VAT Act 2nd Schedule,"Value-Added Tax Act [Chapter 23:12], Section 10 / 2nd Schedule"
34,15179000,0,Yes,No,Basic foodstuff / agricultural input zero-rated under VAT Act 2nd Schedule,"Value-Added Tax Act [Chapter 23:12], Section 10 / 2nd Schedule"
35,17011400,0,Yes,No,Basic foodstuff / agricultural input zero-rated under VAT Act 2nd Schedule,"Value-Added Tax Act [Chapter 23:12], Section 10 / 2nd Schedule"
36,19053100,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
37,18063100,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
38,22030000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
39,22042100,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
40,22083000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
41,22021000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
42,22011000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
43,24022000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
44,87019200,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
45,84195000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
46,84295200,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
47,84271000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
48,85021100,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
49,85414300,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
50,30049000,0,No,Yes,Educational material or registered medicine/medical device exempt supply,"Value-Added Tax Act [Chapter 23:12], 1st Schedule (Exempt Supplies)"
51,30021500,0,No,Yes,Educational material or registered medicine/medical device exempt supply,"Value-Added Tax Act [Chapter 23:12], 1st Schedule (Exempt Supplies)"
52,90189090,0,No,Yes,Educational material or registered medicine/medical device exempt supply,"Value-Added Tax Act [Chapter 23:12], 1st Schedule (Exempt Supplies)"
53,90191000,0,No,Yes,Educational material or registered medicine/medical device exempt supply,"Value-Added Tax Act [Chapter 23:12], 1st Schedule (Exempt Supplies)"
54,33049900,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
55,33051000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
56,67030000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
57,94036000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
58,94032000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
59,94033000,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
60,25232900,15,No,No,,"Value-Added Tax Act [Chapter 23:12], Section 6 (standard rate)"
